datetime,open,high,low,close,volume
2021-02-10 03:00,46323.62000000,46631.83000000,46514.73000000,46364.77000000,129.17339938
2021-02-10 03:05,46127.00000000,46369.40000000,46364.78000000,46336.79000000,190.69568227
2021-02-10 03:10,46217.69000000,46640.45000000,46332.00000000,46626.84000000,125.41909994
2021-02-10 03:15,46590.39000000,46850.00000000,46626.85000000,46806.68000000,159.08704382
2021-02-10 03:20,46751.84000000,46966.90000000,46808.92000000,46850.00000000,105.97393625
2021-02-10 03:25,46810.65000000,46932.00000000,46850.00000000,46850.90000000,60.06881594
2021-02-10 03:30,46786.30000000,46895.91000000,46850.23000000,46860.00000000,51.65612708
2021-02-10 03:35,46720.01000000,46900.00000000,46860.00000000,46788.85000000,48.80544268
2021-02-10 03:40,46687.00000000,46795.26000000,46786.56000000,46740.34000000,38.02004379
2021-02-10 03:45,46650.00000000,46768.32000000,46737.35000000,46700.00000000,65.98095882
2021-02-10 03:50,46512.43000000,46749.01000000,46700.00000000,46541.27000000,60.79004987
2021-02-10 03:55,46508.65000000,46716.23000000,46539.16000000,46583.26000000,78.82537188
2021-02-10 04:00,46445.00000000,46588.88000000,46572.07000000,46445.01000000,65.86313094
2021-02-10 04:05,46250.00000000,46459.28000000,46445.00000000,46330.22000000,113.39792874
2021-02-10 04:10,46304.32000000,46412.36000000,46326.18000000,46359.18000000,76.55947616
2021-02-10 04:15,46330.00000000,46421.90000000,46359.18000000,46330.07000000,58.29719294
2021-02-10 04:20,46033.75000000,46362.76000000,46330.08000000,46145.35000000,209.97730910
2021-02-10 04:25,46123.60000000,46274.40000000,46145.34000000,46232.11000000,129.48968596
2021-02-10 04:30,46190.63000000,46323.86000000,46232.11000000,46299.99000000,57.07076476
2021-02-10 04:35,46254.81000000,46348.88000000,46300.00000000,46265.01000000,47.68896522
2021-02-10 04:40,46198.35000000,46417.57000000,46265.00000000,46341.24000000,71.05606998
2021-02-10 04:45,46305.12000000,46382.48000000,46341.24000000,46354.01000000,59.88589537
2021-02-10 04:50,46125.01000000,46490.47000000,46354.01000000,46170.22000000,84.59851956
2021-02-10 04:55,46172.73000000,46450.01000000,46176.98000000,46327.12000000,58.27527377
2021-02-10 05:00,46322.81000000,46539.39000000,46332.06000000,46511.13000000,58.56300644
2021-02-10 05:05,46499.79000000,46588.88000000,46512.30000000,46499.83000000,88.51733690
2021-02-10 05:10,46416.24000000,46540.18000000,46499.83000000,46485.17000000,180.18574315
2021-02-10 05:15,46488.24000000,46624.56000000,46488.26000000,46565.86000000,69.39680679
2021-02-10 05:20,46482.76000000,46600.00000000,46565.85000000,46566.00000000,42.68723439
2021-02-10 05:25,46511.10000000,46631.69000000,46565.99000000,46630.34000000,44.76807692
2021-02-10 05:30,46536.93000000,46725.00000000,46630.73000000,46595.63000000,93.06555187
2021-02-10 05:35,46565.00000000,46637.74000000,46595.63000000,46580.10000000,86.00151418
2021-02-10 05:40,46508.00000000,46598.96000000,46580.10000000,46541.81000000,68.99772608
2021-02-10 05:45,46451.00000000,46835.00000000,46541.80000000,46799.00000000,153.29888124
